minute,mid,bid,ask,signal
0,98.45578744462803,98.43078744462802,98.48078744462804,0.0
1,98.1668216638452,98.14182166384519,98.1918216638452,0.0
2,98.09566204855784,98.07066204855784,98.12066204855785,0.0
3,96.76291730617149,96.73791730617148,96.7879173061715,0.0
4,96.20860023517854,96.18360023517853,96.23360023517854,0.0
5,95.60352180898263,95.57852180898263,95.62852180898264,-0.9867247374709924
6,96.83724285243672,96.81224285243671,96.86224285243672,-0.893514002570477
7,95.59103861529911,95.5660386152991,95.61603861529912,-0.9995133752509848
8,93.16831205365607,93.14331205365606,93.19331205365607,-0.9886583658063011
9,92.74424819486426,92.71924819486425,92.76924819486426,-0.9622052849785577
10,92.84466614465772,92.81966614465772,92.86966614465773,-0.9014248189570296
11,92.92356564728625,92.89856564728625,92.94856564728626,-0.9969901125350874
12,94.10669439933811,94.0816943993381,94.13169439933812,-0.9906947687775722
13,93.91548097423093,93.89048097423093,93.94048097423094,0.8178983941860106
14,92.72151767897002,92.69651767897001,92.74651767897002,-0.034718297220111854
15,92.7868543516359,92.76185435163589,92.8118543516359,-0.08671875956271596
16,93.30014205882429,93.27514205882429,93.3251420588243,0.5330304763373577
17,94.13608545132463,94.11108545132463,94.16108545132464,0.04573148863527088
18,93.37557813745025,93.35057813745024,93.40057813745025,-0.7390684243294608
19,93.81153453381702,93.78653453381702,93.83653453381703,0.9712224146465674
20,95.17663345494942,95.15163345494942,95.20163345494943,0.9962942263346439
21,95.59487402776188,95.56987402776187,95.61987402776188,0.9853661650806812
22,96.56543552355524,96.54043552355523,96.59043552355524,0.9524527924158269
23,95.91476126212002,95.88976126212002,95.93976126212003,0.9857405098749075
24,94.82351600569902,94.79851600569901,94.84851600569903,0.9057761530221431
25,94.81145475243152,94.78645475243151,94.83645475243152,-0.45269960332672843
26,95.043797930641,95.018797930641,95.06879793064101,-0.6093833567894501
27,94.11081835776125,94.08581835776124,94.13581835776125,-0.9989777159411766
28,94.39653721914863,94.37153721914862,94.42153721914863,-0.9993786346755553
29,94.13794318642141,94.1129431864214,94.16294318642142,-0.9296090951687035
30,94.19656254819951,94.1715625481995,94.22156254819951,-0.9186549767001052
31,94.87438681163331,94.84938681163331,94.89938681163332,-0.48840754001478537
32,93.69414117709863,93.66914117709862,93.71914117709863,-0.7495340735635126
33,94.33168660623848,94.30668660623847,94.35668660623848,-0.15158414053719804
34,93.70615765980813,93.68115765980812,93.73115765980813,-0.7061568720228064
35,95.78998319565804,95.76498319565803,95.81498319565804,0.9475356121162672
36,95.81154892242417,95.78654892242416,95.83654892242417,0.7056112573086265
37,95.09555715988583,95.07055715988582,95.12055715988583,0.9087671671506145
38,95.54746909838187,95.52246909838186,95.57246909838187,0.881940639426518
39,94.82437200049154,94.79937200049153,94.84937200049154,0.9879957412768331
40,94.2627563088931,94.2377563088931,94.28775630889311,-0.9868274005662832
41,93.53633915518536,93.51133915518535,93.56133915518537,-0.9942267906869419
42,94.2998124209484,94.2748124209484,94.3248124209484,-0.7881012258311232
43,92.59364876711584,92.56864876711583,92.61864876711584,-0.9978601016591798
44,93.82091810281807,93.79591810281806,93.84591810281808,-0.893735648721713
45,93.1587278632772,93.1337278632772,93.18372786327721,-0.9358323432426667
46,92.53009892020228,92.50509892020227,92.55509892020228,-0.862824343950995
47,91.03606104824097,91.01106104824096,91.06106104824097,-0.9964521555775292
48,90.86659779214442,90.84159779214441,90.89159779214442,-0.8690221087572463
49,90.64956471727395,90.62456471727394,90.67456471727395,-0.9929842260530909
50,91.17254510326975,91.14754510326975,91.19754510326976,-0.9906314534687929
51,90.2006717301313,90.1756717301313,90.22567173013131,-0.999990317223431
52,89.74388817956277,89.71888817956277,89.76888817956278,-0.9799422068198909
53,88.11122147736502,88.08622147736502,88.13622147736503,-0.9822161279073114
54,88.20328921458523,88.17828921458522,88.22828921458523,-0.9522060979866445
55,88.35604820763876,88.33104820763876,88.38104820763877,-0.9938154757260136
56,88.88168691545476,88.85668691545476,88.90668691545477,-0.9604849316459211
