minute,mid,bid,ask
0,100.24976681622175,100.22476681622175,100.27476681622176
1,99.71868173704563,99.69368173704562,99.74368173704563
2,98.95833266848382,98.93333266848381,98.98333266848383
3,98.70944628334806,98.68444628334805,98.73444628334806
4,98.55785390418062,98.53285390418061,98.58285390418062
5,98.54977423896514,98.52477423896514,98.57477423896515
6,96.76923967960931,96.74423967960931,96.79423967960932
7,98.48405774382776,98.45905774382776,98.50905774382777
8,98.21231418485684,98.18731418485683,98.23731418485684
9,97.02285770997543,96.99785770997542,97.04785770997543
10,97.29914082106174,97.27414082106174,97.32414082106175
11,97.90376189440725,97.87876189440725,97.92876189440726
12,98.76076581060387,98.73576581060387,98.78576581060388
13,98.36661629480678,98.34161629480677,98.39161629480678
14,98.4266311591312,98.4016311591312,98.45163115913121
15,101.1878682019101,101.1628682019101,101.21286820191011
16,101.14247461744199,101.11747461744199,101.167474617442
17,101.16036910377923,101.13536910377923,101.18536910377924
18,99.81917452872344,99.79417452872343,99.84417452872344
19,100.91555064573336,100.89055064573336,100.94055064573337
20,101.04056563921873,101.01556563921872,101.06556563921873
21,100.812057212878,100.787057212878,100.83705721287801
22,102.27595785135048,102.25095785135048,102.30095785135049
23,102.13141155410068,102.10641155410067,102.15641155410069
24,101.99018606086653,101.96518606086653,102.01518606086654
25,100.66593109726895,100.64093109726895,100.69093109726896
26,102.06685412069734,102.04185412069734,102.09185412069735
27,101.15662967792116,101.13162967792115,101.18162967792117
28,100.60294011997695,100.57794011997694,100.62794011997696
29,101.00435368346692,100.97935368346691,101.02935368346692
30,100.464195869268,100.43919586926799,100.489195869268
31,99.382018364972,99.35701836497199,99.407018364972
32,99.25595167716217,99.23095167716217,99.28095167716218
33,98.19331679351785,98.16831679351785,98.21831679351786
34,97.74871267871691,97.72371267871691,97.77371267871692
35,96.31016614553886,96.28516614553885,96.33516614553886
36,97.33961837055664,97.31461837055663,97.36461837055664
37,97.34531579972035,97.32031579972035,97.37031579972036
38,98.09709772212345,98.07209772212344,98.12209772212346
39,99.66447592768546,99.63947592768545,99.68947592768546
40,101.22870486230772,101.20370486230772,101.25370486230773
41,100.4998767699957,100.47487676999569,100.5248767699957
42,100.70390993020285,100.67890993020285,100.72890993020286
43,100.43687868774403,100.41187868774402,100.46187868774403
44,101.06243737252476,101.03743737252475,101.08743737252476
45,100.43441013999288,100.40941013999287,100.45941013999288
46,101.2980775643598,101.2730775643598,101.3230775643598
47,102.21883112392214,102.19383112392214,102.24383112392215
48,102.32336034825846,102.29836034825846,102.34836034825847
49,99.41528806706522,99.39028806706521,99.44028806706523
50,98.16444079613326,98.13944079613326,98.18944079613327
51,97.29393219804876,97.26893219804876,97.31893219804877
52,96.92419256843972,96.89919256843972,96.94919256843973
53,96.4164668194037,96.39146681940369,96.4414668194037
54,96.26444203308475,96.23944203308474,96.28944203308475
55,97.69285824865504,97.66785824865504,97.71785824865505
56,97.48243467183345,97.45743467183344,97.50743467183345
57,97.67629270117156,97.65129270117156,97.70129270117157
58,97.44674504020027,97.42174504020026,97.47174504020028
59,96.0824182792053,96.0574182792053,96.1074182792053
60,94.94386894147273,94.91886894147272,94.96886894147273
61,93.77351257683516,93.74851257683515,93.79851257683517
62,93.5324232600493,93.5074232600493,93.5574232600493
63,93.24210553754403,93.21710553754403,93.26710553754404
64,94.66059303715137,94.63559303715137,94.68559303715138
65,95.6877934743043,95.6627934743043,95.7127934743043
66,94.19469257959948,94.16969257959947,94.21969257959948
67,93.11192964911696,93.08692964911695,93.13692964911696
68,92.43123518410607,92.40623518410607,92.45623518410608
69,93.65620342348656,93.63120342348655,93.68120342348656
70,93.43391022523716,93.40891022523715,93.45891022523716
71,92.83356215328948,92.80856215328947,92.85856215328948
72,94.04382783381887,94.01882783381886,94.06882783381887
73,95.32771420535062,95.30271420535061,95.35271420535062
74,95.72338570805469,95.69838570805469,95.7483857080547
75,95.8887332911768,95.8637332911768,95.91373329117681
76,96.81111496047168,96.78611496047168,96.83611496047169
77,94.62767048976472,94.60267048976472,94.65267048976473
78,94.81698526927774,94.79198526927773,94.84198526927774
79,95.22844363971079,95.20344363971078,95.2534436397108
80,94.837118738227,94.812118738227,94.86211873822701
81,95.11658643526954,95.09158643526953,95.14158643526955
82,95.54415613364337,95.51915613364336,95.56915613364338
83,95.21047663955073,95.18547663955073,95.23547663955074
84,95.01053022730778,94.98553022730778,95.03553022730779
85,94.55551243879499,94.53051243879499,94.580512438795
86,93.19716937402322,93.17216937402321,93.22216937402322
87,93.10645274973612,93.08145274973612,93.13145274973613
88,93.6094869741229,93.5844869741229,93.63448697412291
89,93.75647383144211,93.7314738314421,93.78147383144211
90,94.46689031410403,94.44189031410403,94.49189031410404
91,92.12149782285174,92.09649782285173,92.14649782285174
92,92.81224076759416,92.78724076759416,92.83724076759417
93,93.87104291005905,93.84604291005904,93.89604291005905
94,93.17129524565313,93.14629524565312,93.19629524565313
95,93.20924514111533,93.18424514111533,93.23424514111534
96,91.78679783395197,91.76179783395196,91.81179783395197
97,92.27789975291054,92.25289975291054,92.30289975291055
98,90.49992947235313,90.47492947235312,90.52492947235314
99,89.81359516435529,89.78859516435529,89.8385951643553
100,90.31971927801624,90.29471927801623,90.34471927801624
101,91.25746988734689,91.23246988734688,91.28246988734689
102,90.99274077140338,90.96774077140337,91.01774077140338
103,91.23486216786007,91.20986216786007,91.25986216786008
104,90.92254123124796,90.89754123124796,90.94754123124797
105,90.61114490913937,90.58614490913936,90.63614490913938
106,91.21410772109391,91.1891077210939,91.23910772109392
107,91.14590224005931,91.12090224005931,91.17090224005932
108,91.53314384964627,91.50814384964626,91.55814384964627
109,91.75397722108481,91.7289772210848,91.77897722108482
110,91.85741252060654,91.83241252060654,91.88241252060655
111,90.28187543518388,90.25687543518387,90.30687543518388
112,92.15309176478718,92.12809176478717,92.17809176478718
113,90.91796800572075,90.89296800572075,90.94296800572076
114,90.05159742344094,90.02659742344093,90.07659742344094
115,90.86114324969098,90.83614324969098,90.88614324969099
116,91.18653620038585,91.16153620038584,91.21153620038585
117,91.06129235564428,91.03629235564428,91.08629235564429
118,91.12839389663242,91.10339389663241,91.15339389663242
119,90.75994814486995,90.73494814486995,90.78494814486996
120,90.46813838363377,90.44313838363377,90.49313838363378
121,89.72729647909242,89.70229647909241,89.75229647909242
122,89.93817209679904,89.91317209679903,89.96317209679904
123,88.48662962089323,88.46162962089322,88.51162962089323
124,87.49969023571688,87.47469023571688,87.52469023571689
125,88.13765700159621,88.1126570015962,88.16265700159622
126,89.51148221329707,89.48648221329707,89.53648221329708
127,88.77800816871691,88.7530081687169,88.80300816871691
128,89.25538417792389,89.23038417792388,89.28038417792389
129,90.08571137059077,90.06071137059077,90.11071137059078
130,91.67179064207333,91.64679064207333,91.69679064207334
131,90.62324542182398,90.59824542182398,90.64824542182399
132,91.21778283985684,91.19278283985683,91.24278283985684
133,94.46134192735633,94.43634192735632,94.48634192735634
134,93.22720709421763,93.20220709421763,93.25220709421764
135,92.66077038159962,92.63577038159961,92.68577038159962
136,90.82848822412431,90.80348822412431,90.85348822412432
137,90.34701542894393,90.32201542894393,90.37201542894394
138,90.60447153805991,90.5794715380599,90.62947153805992
139,90.38690248461498,90.36190248461497,90.41190248461498
140,92.56909479858138,92.54409479858137,92.59409479858138
141,91.40571707200473,91.38071707200473,91.43071707200474
142,89.89441494371998,89.86941494371997,89.91941494371999
143,89.71593019431026,89.69093019431025,89.74093019431027
144,87.49519799929517,87.47019799929517,87.52019799929518
145,87.22253544464719,87.19753544464719,87.2475354446472
146,87.21008627210381,87.1850862721038,87.23508627210381
147,87.08408989252531,87.05908989252531,87.10908989252532
148,86.69884538187046,86.67384538187045,86.72384538187046
149,85.69554639314765,85.67054639314765,85.72054639314766
150,84.68647974043041,84.66147974043041,84.71147974043042
151,84.0937309487259,84.0687309487259,84.11873094872591
152,84.01095324913425,83.98595324913424,84.03595324913425
153,83.93231324889354,83.90731324889353,83.95731324889354
154,83.93660635168999,83.91160635168998,83.96160635169
155,83.29584686365703,83.27084686365703,83.32084686365704
156,81.09817706490257,81.07317706490257,81.12317706490258
157,80.56429296013849,80.53929296013848,80.5892929601385
158,80.21354230193629,80.18854230193628,80.23854230193629
159,80.29084472027245,80.26584472027244,80.31584472027245
160,78.86727149731672,78.84227149731672,78.89227149731673
161,78.57968078393293,78.55468078393292,78.60468078393293
162,78.67017393307059,78.64517393307058,78.69517393307059
163,78.98566742542734,78.96066742542733,79.01066742542734
164,80.19876401453291,80.1737640145329,80.22376401453292
165,80.22314501376299,80.19814501376298,80.248145013763
166,80.75901511397856,80.73401511397856,80.78401511397857
167,79.1466162474355,79.1216162474355,79.17161624743551
168,78.87111975758584,78.84611975758584,78.89611975758585
169,79.26396031410485,79.23896031410484,79.28896031410486
170,79.89026600323659,79.86526600323658,79.9152660032366
171,79.46365752156814,79.43865752156813,79.48865752156814
172,79.2638030852983,79.2388030852983,79.28880308529831
173,79.51282480149273,79.48782480149272,79.53782480149273
174,79.53266173342502,79.50766173342501,79.55766173342502
175,79.00237457310585,78.97737457310585,79.02737457310586
176,78.88980062140159,78.86480062140159,78.9148006214016
177,77.74818253061127,77.72318253061127,77.77318253061128
178,77.25627534100714,77.23127534100713,77.28127534100715
179,78.16028964119953,78.13528964119952,78.18528964119953
180,77.42150759589073,77.39650759589072,77.44650759589074
181,78.0966886663376,78.0716886663376,78.1216886663376
182,77.78311724719022,77.75811724719021,77.80811724719022
183,78.416218002454,78.391218002454,78.44121800245401
184,78.31884895927418,78.29384895927417,78.34384895927418
185,78.20544422931125,78.18044422931125,78.23044422931126
186,76.83243818279773,76.80743818279772,76.85743818279774
187,77.80606394414103,77.78106394414102,77.83106394414104
188,78.39897322625215,78.37397322625215,78.42397322625216
189,77.0705487311443,77.0455487311443,77.0955487311443
190,77.2632482078249,77.2382482078249,77.2882482078249
191,77.12040590919274,77.09540590919273,77.14540590919275
192,78.38271672863372,78.35771672863372,78.40771672863373
193,78.88425515596957,78.85925515596956,78.90925515596957
194,79.13426924651881,79.1092692465188,79.15926924651882
195,78.65707479650423,78.63207479650423,78.68207479650424
196,77.516083611663,77.491083611663,77.54108361166301
197,76.3229471468083,76.2979471468083,76.34794714680831
198,77.486549427559,77.46154942755899,77.511549427559
199,77.11654379012121,77.09154379012121,77.14154379012122
200,76.5709947568576,76.5459947568576,76.5959947568576
201,76.40322321142175,76.37822321142174,76.42822321142175
202,75.92157026593146,75.89657026593146,75.94657026593147
203,75.85806266243671,75.8330626624367,75.88306266243671
204,75.13437169630586,75.10937169630586,75.15937169630587
205,75.56601605365584,75.54101605365584,75.59101605365585
206,75.1111002281709,75.08610022817089,75.1361002281709
207,74.7188349866922,74.6938349866922,74.7438349866922
208,75.75728482257644,75.73228482257643,75.78228482257644
209,75.20340751268802,75.17840751268801,75.22840751268802
210,74.86976922006725,74.84476922006725,74.89476922006726
